92	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1
10	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0
83	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0
61	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0
107	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0
113	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0
80	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0
125	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0
36	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1
105	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1
81	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1
122	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0
94	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1
60	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0
8	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0
20	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1
85	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0
50	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1
68	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1
89	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1
52	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0
19	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1
118	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1
16	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1
91	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1
79	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0
23	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0
25	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0
30	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1
57	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1
3	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0
114	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1
37	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0
66	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1
110	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0
116	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0
88	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0
77	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0
82	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0
64	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0
84	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0
86	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0
6	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0
74	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1
106	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1
115	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0
130	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1
54	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0
33	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0
67	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1
69	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1
39	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0
53	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0
127	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1
96	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1
121	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1
70	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0
123	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1
42	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1
78	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0
11	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0
129	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0
