125,256,6000,256,16,128,198,199
29,8000,32000,32,8,32,269,253
29,8000,32000,32,8,32,220,253
29,8000,32000,32,8,32,172,253
29,8000,16000,32,8,16,132,132
26,8000,32000,64,8,32,318,290
23,16000,32000,64,16,32,367,381
23,16000,32000,64,16,32,489,381
23,16000,64000,64,16,32,636,749
23,32000,64000,128,32,64,1144,1238
400,1000,3000,0,1,2,38,23
400,512,3500,4,1,6,40,24
60,2000,8000,65,1,8,92,70
50,4000,16000,65,1,8,138,117
350,64,64,0,1,4,10,15
200,512,16000,0,4,32,35,64
167,524,2000,8,4,15,19,23
143,512,5000,0,7,32,28,29
143,1000,2000,0,5,16,31,22
110,5000,5000,142,8,64,120,124
143,1500,6300,0,5,32,30,35
143,3100,6200,0,5,20,33,39
143,2300,6200,0,6,64,61,40
110,3100,6200,0,6,64,76,45
320,128,6000,0,1,12,23,28
320,512,2000,4,1,3,69,21
320,256,6000,0,1,6,33,28
320,256,3000,4,1,3,27,22
320,512,5000,4,1,5,77,28
320,256,5000,4,1,6,27,27
25,1310,2620,131,12,24,274,102
25,1310,2620,131,12,24,368,102
50,2620,10480,30,12,24,32,74
50,2620,10480,30,12,24,63,74
56,5240,20970,30,12,24,106,138
64,5240,20970,30,12,24,208,136
50,500,2000,8,1,4,20,23
50,1000,4000,8,1,5,29,29
50,2000,8000,8,1,5,71,44
50,1000,4000,8,3,5,26,30
50,1000,8000,8,3,5,36,41
50,2000,16000,8,3,5,40,74
50,2000,16000,8,3,6,52,74
50,2000,16000,8,3,6,60,74
133,1000,12000,9,3,12,72,54
133,1000,8000,9,3,12,72,41
810,512,512,8,1,1,18,18
810,1000,5000,0,1,1,20,28
320,512,8000,4,1,5,40,36
200,512,8000,8,1,8,62,38
700,384,8000,0,1,1,24,34
700,256,2000,0,1,1,24,19
140,1000,16000,16,1,3,138,72
200,1000,8000,0,1,2,36,36
110,1000,4000,16,1,2,26,30
110,1000,12000,16,1,2,60,56
220,1000,8000,16,1,2,71,42
800,256,8000,0,1,4,12,34
800,256,8000,0,1,4,14,34
800,256,8000,0,1,4,20,34
800,256,8000,0,1,4,16,34
800,256,8000,0,1,4,22,34
125,512,1000,0,8,20,36,19
75,2000,8000,64,1,38,144,75
75,2000,16000,64,1,38,144,113
75,2000,16000,128,1,38,259,157
90,256,1000,0,3,10,17,18
105,256,2000,0,3,10,26,20
105,1000,4000,0,3,24,32,28
105,2000,4000,8,3,19,32,33
75,2000,8000,8,3,24,62,47
75,3000,8000,8,3,48,64,54
175,256,2000,0,3,24,22,20
300,768,3000,0,6,24,36,23
300,768,3000,6,6,24,44,25
300,768,12000,6,6,24,50,52
300,768,4500,0,1,24,45,27
300,384,12000,6,1,24,53,50
300,192,768,6,6,24,36,18
180,768,12000,6,1,31,84,53
330,1000,3000,0,2,4,16,23
300,1000,4000,8,3,64,38,30
300,1000,16000,8,2,112,38,73
330,1000,2000,0,1,2,16,20
330,1000,4000,0,3,6,22,25
140,2000,4000,0,3,6,29,28
140,2000,4000,0,4,8,40,29
140,2000,4000,8,1,20,35,32
140,2000,32000,32,1,20,134,175
140,2000,8000,32,1,54,66,57
140,2000,32000,32,1,54,141,181
140,2000,32000,32,1,54,189,181
140,2000,4000,8,1,20,22,32
57,4000,16000,1,6,12,132,82
57,4000,24000,64,12,16,237,171
26,16000,32000,64,16,24,465,361
26,16000,32000,64,8,24,465,350
26,8000,32000,0,8,24,277,220
26,8000,16000,0,8,16,185,113
480,96,512,0,1,1,6,15
203,1000,2000,0,1,5,24,21
115,512,6000,16,1,6,45,35
1100,512,1500,0,1,1,7,18
1100,768,2000,0,1,1,13,20
600,768,2000,0,1,1,16,20
400,2000,4000,0,1,1,32,28
400,4000,8000,0,1,1,32,45
900,1000,1000,0,1,2,11,18
900,512,1000,0,1,2,11,17
900,1000,4000,4,1,2,18,26
900,1000,4000,8,1,2,22,28
900,2000,4000,0,3,6,37,28
225,2000,4000,8,3,6,40,31
225,2000,4000,8,3,6,34,31
180,2000,8000,8,1,6,50,42
185,2000,16000,16,1,6,76,76
180,2000,16000,16,1,6,66,76
225,1000,4000,2,3,6,24,26
25,2000,12000,8,1,4,49,59
25,2000,12000,16,3,5,66,65
17,4000,16000,8,6,12,100,101
17,4000,16000,32,6,12,133,116
1500,768,1000,0,0,0,12,18
1500,768,2000,0,0,0,18,20
800,768,2000,0,0,0,20,20
50,2000,4000,0,3,6,27,30
50,2000,8000,8,3,6,45,44
50,2000,8000,8,1,6,56,44
50,2000,16000,24,1,6,70,82
50,2000,16000,24,1,6,80,82
50,8000,16000,48,1,10,136,128
100,1000,8000,0,2,6,16,37
100,1000,8000,24,2,6,26,46
100,1000,8000,24,3,6,32,46
50,2000,16000,12,3,16,45,80
